AUC,species
0.925996541771586,Acanthis flammea
0.6643526976007794,Aegithalos caudatus
0.5745131716892329,Anthus trivialis
0.79500688984356,Bombycilla garrulus
0.859813874788494,Carduelis carduelis
0.6976544983419035,Certhia familiaris
0.6214828260402134,Chloris chloris
0.6490961311032268,Coccothraustes coccothraustes
0.6702404297041521,Coloeus monedula
0.8549244646523907,Columba oenas
0.7525201732108769,Columba palumbus
0.541641121615953,Corvus corax
0.5404714546038338,Cuculus canorus
0.6054006320877486,Curruca curruca
0.7681321109024632,Cyanistes caeruleus
0.6234976797022643,Dendrocopos major
0.3037974683544304,Dryobates minor
0.594381874781594,Dryocopus martius
0.7214946993522587,Emberiza citrinella
0.7824438769621422,Emberiza rustica
0.6558015146717713,Erithacus rubecula
0.5802971353267861,Ficedula hypoleuca
0.5144017427318935,Ficedula parva
0.7793971726720595,Fringilla coelebs
0.9502452513990925,Fringilla montifringilla
0.6737703178068899,Garrulus glandarius
0.8207217435828936,Hippolais icterina
0.5053169734151329,Jynx torquilla
0.6461905505644173,Lophophanes cristatus
0.519292187720007,Loxia curvirostra
0.8160243994746098,Loxia leucoptera
0.6186030925367418,Loxia pytyopsittacus
0.7806260575296108,Lullula arborea
0.8103252521204836,Luscinia luscinia
0.532846566133721,Lyrurus tetrix
0.5401672493384352,Muscicapa striata
0.7979746835443038,Nucifraga caryocatactes
0.6666013712047013,Parus major
0.6819884235614573,Passer montanus
0.7475784674732597,Periparus ater
0.8689223356234198,Perisoreus infaustus
0.7351996905160844,Phoenicurus phoenicurus
0.7106476567843582,Phylloscopus collybita
0.6441831966126186,Phylloscopus sibillatrix
0.5261915388048446,Phylloscopus trochilus
0.5837545001384657,Pica pica
0.7087791941937285,Picoides tridactylus
0.672776646300068,Picus canus
0.8835198372329603,Pinicola enucleator
0.8909178925853213,Poecile cinctus
0.5343383824176802,Poecile montanus
0.6496551471127743,Prunella modularis
0.588097914397703,Pyrrhula pyrrhula
0.6973492047372417,Regulus regulus
0.5497016246877676,Scolopax rusticola
0.5546451544167588,Spinus spinus
0.7601809094882466,Sturnus vulgaris
0.8400032495531864,Sylvia atricapilla
0.7490234375,Sylvia borin
0.5283324338909876,Tetrao urogallus
0.5417672012742268,Tetrastes bonasia
0.719514503798916,Troglodytes troglodytes
0.6044561325712784,Turdus iliacus
0.8081142075486986,Turdus merula
0.5477472028380751,Turdus philomelos
0.6430126108333848,Turdus pilaris
0.5289101034208433,Turdus viscivorus
