species,RMSE,SR2
Acanthis flammea,3.217835968469613,0.5102433665479028
Aegithalos caudatus,0.3637557822620952,0.2481156809864796
Anthus trivialis,1.9523614482369713,0.5932480348662115
Bombycilla garrulus,0.7037115056559395,0.13069355501718102
Carduelis carduelis,0.06516169152481166,NA
Certhia familiaris,0.6811160181077683,0.1547485068099296
Chloris chloris,0.6407266294571223,0.10506207226723695
Coccothraustes coccothraustes,0.14069802771198223,NA
Coloeus monedula,1.419092745399393,0.10490548550344769
Columba oenas,0.6174201813485354,0.3202451677683876
Columba palumbus,1.3011833150676797,0.30193338237084433
Corvus corax,0.58008730703668,0.0613001638644122
Cuculus canorus,1.1916249936373793,0.2830758001118562
Curruca curruca,0.5920180626649472,0.0715557300595388
Cyanistes caeruleus,0.9539124659579554,0.21880167301664513
Dendrocopos major,0.7600068293758168,0.12981208427985497
Dryobates minor,0.06125295541242343,NA
Dryocopus martius,0.3370660462138192,0.05319188298002205
Emberiza citrinella,1.2878708430406836,0.16476618956364522
Emberiza rustica,1.1457821276968463,0.20480058246522329
Erithacus rubecula,1.581119759833585,0.5171818374830391
Ficedula hypoleuca,0.9084305362475715,0.11661489354714116
Ficedula parva,0.1623977531330775,0.007479224376731302
Fringilla coelebs,2.9967242032293684,0.8697467568119774
Fringilla montifringilla,2.2724321795371876,0.8213718072022805
Garrulus glandarius,0.3598385458925894,0.049275227698514695
Hippolais icterina,0.3931978111757805,0.12836013278086447
Jynx torquilla,0.058550590108984425,NA
Lophophanes cristatus,0.6316560713072383,0.13872266384854962
Loxia curvirostra,3.0817540931427776,0.15236360868282373
Loxia leucoptera,1.244338161912304,0.40027254294315945
Loxia pytyopsittacus,1.5220933034276465,0.30803254781344597
Lullula arborea,0.29294644557660837,0.3928571428571427
Luscinia luscinia,0.21016809957864174,0.10753431420953886
Lyrurus tetrix,0.7196019702713978,0.1136608079438588
Muscicapa striata,1.136566625686063,0.18654593118887233
Nucifraga caryocatactes,0.3604183631029708,0.1542857142857143
Parus major,1.2817872245287325,0.2948539710720574
Passer montanus,0.5294774183637846,0.22396082178690868
Periparus ater,0.47237896400612817,0.1772055049909912
Perisoreus infaustus,0.6964271696831859,0.2080987027449292
Phoenicurus phoenicurus,1.7194389477564656,0.6363061668375655
Phylloscopus collybita,1.2712604645146255,0.18435458147972145
Phylloscopus sibillatrix,0.9592954946187562,0.15909153665918876
Phylloscopus trochilus,2.886230786281562,0.8692683739354332
Pica pica,0.5483708537849192,0.08135605042277001
Picoides tridactylus,0.5565940645646674,0.16229626217063642
Picus canus,0.21978652023867445,0.1764705882352941
Pinicola enucleator,0.4269843894597674,0.28035759897828866
Poecile cinctus,0.8111488230984811,0.1457916040228966
Poecile montanus,0.7204271237886387,0.09058768941434932
Prunella modularis,0.9322903580902374,0.1379561727050869
Pyrrhula pyrrhula,0.5459317829105927,0.10689704726236092
Regulus regulus,1.278290885181496,0.29800104809569355
Scolopax rusticola,0.2565280480721184,0.07755606916623867
Spinus spinus,1.8283343809630157,0.5320071755232046
Sturnus vulgaris,0.9774469182018678,0.4092045503528758
Sylvia atricapilla,0.8458271131810071,0.1945642718761097
Sylvia borin,1.139747112951274,0.26004493280771784
Tetrao urogallus,0.48375276119385247,0.04303400291748904
Tetrastes bonasia,0.32668142224213575,0.07773720088162786
Troglodytes troglodytes,0.8915986635296979,0.1567997468949752
Turdus iliacus,1.48264675860588,0.42711908730045073
Turdus merula,1.177702727617129,0.33529305609860605
Turdus philomelos,1.5216523871712457,0.3902461390658081
Turdus pilaris,1.2702732017358558,0.431342489323201
Turdus viscivorus,0.8167743085240043,0.12598324844682263
