Site,Observed,Predicted
1,12,15.873187075006934
2,7,15.973527893529743
3,7,16.216287916295705
4,20,15.915214095570969
5,13,16.327240998076917
6,11,15.880515419118325
27,29,17.15906942967684
28,7,16.67943370623779
29,31,16.138877973829164
30,2,16.245363397246553
31,29,15.978934495820722
32,7,16.56041471720492
33,32,16.60006809184376
34,25,16.17183924155977
35,19,16.380885955278494
36,18,16.079978483581773
54,11,17.270461189117544
55,18,17.10545883967709
56,11,17.114875984151144
57,11,16.39916614373493
58,25,16.6073753303125
69,12,16.645467818492858
70,11,17.041715649308685
71,2,16.730789778104864
72,13,17.272944158105698
73,2,16.64759141634274
74,7,16.746789239488628
75,5,17.18733592923943
76,8,17.17051988445021
77,16,16.65774458226909
78,9,16.98649114338994
79,15,15.618799469336894
85,4,15.590827654260432
86,11,15.163008475153996
87,15,15.290567881027622
88,5,15.756493680112124
89,11,15.283994478811453
90,3,16.084566675822753
103,22,16.713533273927663
104,9,16.87353948789487
105,5,17.11815075092596
106,7,16.931347015742812
107,3,16.571170329334745
108,12,16.522981603922066
109,31,17.125456585178686
110,13,17.306152506444644
111,6,17.088062269486244
112,11,16.831631144890228
113,3,16.343405191011904
119,11,16.042739187828698
120,13,17.53540229090551
121,17,17.628663266644
122,4,17.489537069781115
123,7,17.44102633385892
124,24,17.323493969670118
125,14,17.280432362847286
126,7,17.334208100017317
127,25,16.99769523883434
128,8,17.34538004930262
129,19,17.710726618500583
130,14,17.420734588836037
131,11,18.252743160741538
132,23,18.312923455968754
133,7,18.35261007310348
134,9,18.001341806979994
135,25,18.072581309730044
141,20,17.392743231187637
142,10,16.302949138865642
143,15,16.378017793201973
144,17,16.960011374269765
145,9,16.799979024385962
146,24,15.923741578092493
147,10,18.450911796967212
148,9,18.43160695756298
149,15,18.355451851098543
150,18,18.36227169593462
151,9,18.54315645330568
158,26,16.777475309850647
159,10,16.612736520372717
160,7,16.265598069458594
161,23,17.063910950507747
162,2,16.896177172939296
163,8,16.783077507138238
164,24,16.386841511982897
165,10,16.54131427600651
170,8,16.592798211966592
171,10,17.291638241943133
172,16,16.84413673583197
173,9,16.77466103221712
174,8,17.340150550223846
175,8,16.78188505812322
193,7,16.963614458313536
194,15,16.99296507811541
195,8,17.228572878100003
196,19,17.2112934050822
197,5,17.321123247938463
204,12,19.277457754340556
205,3,19.410535234296205
206,21,19.601342218574814
207,5,19.821296888500413
208,10,18.68231511671009
214,21,19.217199156768
215,11,19.173614486013758
216,4,19.103601881088537
217,16,19.363221192896034
218,15,19.7521995925767
219,16,18.446006478695317
220,7,18.271820057457862
221,9,17.96682488691726
222,16,18.204782114214584
223,9,20.132846978185377
224,19,20.092228798664973
225,10,20.03795227181416
226,4,20.244378788311863
227,13,20.259291955959043
228,19,20.125502636164658
229,11,20.863605527486392
