batch_size,weight_decay,hidden_layers,lr,mean_auc,std_auc
100,0.0001,1,0.0001,0.6397923411413006,0.006920401605855768
100,0.0001,1,0.0002,0.647326194622335,0.0069762239986666825
100,0.0001,1,0.0005,0.6598917804098466,0.008799779505365776
100,0.0001,1,0.001,0.6643662654894622,0.008453882060634462
100,0.0001,2,0.0001,0.648329271002959,0.00842456966871323
100,0.0001,2,0.0002,0.6617582151512611,0.006970110204067861
100,0.0001,2,0.0005,0.6710647607815361,0.010058113992703252
100,0.0001,2,0.001,0.6705289979314054,0.0080548379127259
100,0.0001,3,0.0001,0.6537630789461677,0.008826420202214707
100,0.0001,3,0.0002,0.6666984483600915,0.008867957349643438
100,0.0001,3,0.0005,0.6695948127652712,0.01003271800159068
100,0.0001,3,0.001,0.6696303491544036,0.0098952821254722
100,0.0002,1,0.0001,0.6393797746120576,0.007349190520064767
100,0.0002,1,0.0002,0.6469483262047323,0.0070126996276048134
100,0.0002,1,0.0005,0.6607427013718151,0.010047310339132542
100,0.0002,1,0.001,0.6689893996073507,0.009375005122348136
100,0.0002,2,0.0001,0.6479847154749135,0.007363064895035554
100,0.0002,2,0.0002,0.6586161536959529,0.008067904800883818
100,0.0002,2,0.0005,0.675929629949156,0.011257125849074604
100,0.0002,2,0.001,0.6807198748479293,0.013223016989158495
100,0.0002,3,0.0001,0.6559358387170013,0.008736042272254071
100,0.0002,3,0.0002,0.670656541689833,0.008070522689790291
100,0.0002,3,0.0005,0.6761472704204693,0.012933168401779738
100,0.0002,3,0.001,0.681812375342846,0.014028321804947941
100,0.0003,1,0.0001,0.6366749960612563,0.007001182330422529
100,0.0003,1,0.0002,0.6471564414661632,0.00841641241283344
100,0.0003,1,0.0005,0.6598674032606956,0.006683689006783934
100,0.0003,1,0.001,0.6680956081014167,0.00699861346488888
100,0.0003,2,0.0001,0.6494324780914755,0.008317384335003298
100,0.0003,2,0.0002,0.6576290684875673,0.008189004122152373
100,0.0003,2,0.0005,0.675144300120169,0.008964538090750863
100,0.0003,2,0.001,0.6828901477261591,0.01118780982584398
